Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
12.08.2020			
	10:19:39.21	175412.000000	262.321500
	10:19:40.45	180523.000000	269.607000
	10:19:41.87	185932.000000	277.291500
	10:21:11.73	-3905.000000	5.022000
	10:21:12.95	-8740.000000	12.324000
	10:21:14.15	-13728.000000	19.495500
	10:21:39.03	-194.000000	0.207000
	10:21:40.51	-779.000000	0.589500
	10:21:41.73	-1266.000000	1.849500
	10:21:42.97	-1762.000000	2.574000
	10:21:44.21	-2218.000000	3.300000
	10:21:45.45	-2755.000000	4.039500
	10:21:46.68	-3216.000000	4.761000
	10:21:47.97	-3734.000000	5.496000
	10:21:49.19	-4207.000000	6.261000
	10:21:50.43	-4693.000000	7.000500
	10:21:51.66	-5207.000000	7.734000
	10:21:52.89	-5662.000000	8.478000
	10:21:54.12	-6183.000000	9.199500
	10:21:55.36	-6655.000000	9.921000
	10:21:56.60	-7141.000000	10.644000
	10:21:57.83	-7635.000000	11.370000
	10:21:59.06	-8133.000000	12.120000
	10:22:00.28	-8614.000000	12.847500
	10:22:01.49	-9084.000000	13.581000
	10:22:02.71	-9575.000000	14.301000
	10:22:03.92	-10055.000000	15.024000
	10:22:05.15	-10536.000000	15.744000
	10:22:06.38	-11033.000000	16.491000
	10:22:07.90	-11519.000000	17.214000
	10:22:09.13	-12131.000000	18.085500
	10:22:10.36	-12595.000000	18.822000
	10:22:11.61	-13088.000000	19.581000
	10:22:12.83	-13615.000000	20.481000
	10:22:14.04	-14060.000000	21.201000
	10:22:15.26	-14538.000000	21.921000
	10:22:16.48	-15013.000000	22.282500
	10:22:17.69	-15513.000000	23.206500
	10:22:18.90	-15980.000000	23.923500
	10:22:20.11	-16453.000000	24.631500
	10:22:21.33	-16975.000000	25.356000
	10:22:22.54	-17413.000000	26.076000
	10:22:23.75	-17893.000000	26.802000
	10:22:24.96	-18383.000000	27.532500
	10:22:26.17	-18853.000000	28.236000
	10:22:27.38	-19333.000000	28.972500
	10:22:28.59	-19813.000000	29.674500
	10:22:29.80	-20302.000000	30.394500
	10:22:31.04	-20796.000000	31.131000
	10:22:32.26	-21316.000000	31.854000
	10:22:33.50	-21739.000000	32.593500
	10:22:34.72	-22236.000000	33.319500
	10:22:35.95	-22731.000000	34.041000
	10:22:37.17	-23236.000000	34.761000
	10:22:38.40	-23696.000000	35.481000
	10:22:39.64	-24211.000000	36.207000
	10:22:40.85	-24674.000000	36.928500
	10:22:42.08	-25156.000000	37.672500
	10:22:43.30	-25654.000000	38.395500
	10:22:44.49	-25981.000000	39.297000
	10:22:45.73	10.000000	40.038000
	10:22:46.95	-27095.000000	40.758000
	10:22:48.17	-27575.000000	41.479500
	10:22:49.40	-28059.000000	42.025500
	10:22:50.62	-28579.000000	42.768000
	10:22:51.85	-29041.000000	43.494000
	10:22:53.07	-29529.000000	44.215500
	10:22:54.30	-29979.000000	44.943000
	10:22:55.52	-30498.000000	45.672000
	10:22:56.75	-30956.000000	46.398000
	10:22:57.97	-31475.000000	47.118000
	10:22:59.19	-31955.000000	47.839500
	10:23:00.42	-32436.000000	48.561000
	10:23:01.64	-32896.000000	49.281000
	10:23:02.87	-33410.000000	50.008500
	10:23:04.09	-33893.000000	50.739000
	10:23:05.30	-34356.000000	51.475500
	10:23:06.53	-34836.000000	52.195500
	10:23:07.75	-35334.000000	52.933500
	10:23:08.98	-35809.000000	53.661000
	10:23:10.21	-36292.000000	54.385500
	10:23:11.42	-36781.000000	55.123500
	10:23:12.64	-37253.000000	55.852500
	10:23:13.86	-37757.000000	56.574000
	10:23:15.10	-38240.000000	57.294000
	10:23:16.32	-38703.000000	58.027500
	10:23:17.56	-39198.000000	58.758000
	10:23:18.78	-39716.000000	59.662500
	10:23:20.02	-40177.000000	60.411000
	10:23:21.25	-40664.000000	61.134000
	10:23:22.46	-41171.000000	61.854000
	10:23:23.68	-41636.000000	62.575500
	10:23:24.90	-42133.000000	63.301500
	10:23:26.12	-42614.000000	64.033500
	10:23:27.35	-43081.000000	64.758000
	10:23:28.58	-43577.000000	65.479500
	10:23:29.80	-44053.000000	66.201000
	10:23:31.03	-44533.000000	66.921000
	10:23:32.26	-45048.000000	67.650000
	10:23:33.48	-45534.000000	68.376000
	10:23:34.70	-45978.000000	69.115500
	10:23:35.92	-46519.000000	69.837000
	10:23:37.13	-46948.000000	70.555500
	10:23:38.42	-47491.000000	71.334000
	10:23:39.63	-47955.000000	72.054000
	10:23:40.84	-48451.000000	72.774000
	10:23:42.07	-48932.000000	73.501500
	10:23:43.30	-49413.000000	74.235000
	10:23:44.50	-49911.000000	74.941500
	10:23:45.72	-50357.000000	75.678000
